55,61
27,62
21,25
44,25
174,185
79,91
55,33
52,73
26,31
94,63
309,250
57,39
37,62
78,75
39,40
50,33
46,55
38,26
51,73
47,38
40,32
90,59
61,47
40,37
40,42
31,51
34,23
34,29
39,50
32,33
38,35
67,73
31,40
53,47
58,46
77,85
96,167
37,33
42,38
37,63
151,124
47,32
36,33
38,34
36,27
73,71
84,58
34,90
44,50
73,99
39,32
45,31
58,50
37,24
40,36
25,16
40,45
57,111
81,60
96,84
43,20
38,31
37,39
108,121
27,21
89,88
13,15
49,28
54,53
73,42
19,18
64,60
37,37
76,72
58,48
30,23
47,39
215,202
61,53
35,26
43,23
111,84
49,50
35,32
57,60
29,31
38,33
21,35
55,35
36,26
63,74
49,42
27,43
79,109
51,33
41,38
55,47
38,32
38,51
101,94
41,33
45,32
61,55
62,59
58,37
80,54
29,27
95,85
157,166
65,47
59,58
23,29
32,42
56,103
53,44
37,25
49,28
47,61
28,25
47,31
110,141
38,51
32,46
35,38
69,41
45,34
56,32
39,30
36,27
24,40
40,36
55,64
46,36
138,125
37,52
34,41
60,44
79,99
50,59
46,39
62,74
53,47
58,68
69,55
43,65
42,51
24,18
43,34
37,31
38,32
33,25
99,70
74,43
62,42
32,32
30,23
57,37
20,23
27,23
48,40
70,72
26,23
47,35
64,78
36,67
83,75
37,35
34,41
239,216
34,32
161,159
52,79
36,30
63,43
89,72
62,62
29,45
43,63
67,68
45,19
52,61
97,129
72,79
47,42
51,29
87,101
22,25
30,29
123,110
46,32
43,31
39,49
38,32
34,42
90,71
117,127
37,38
47,61
53,38
42,46
72,62
48,46
49,37
37,26
86,77
62,32
85,77
89,91
38,34
62,54
35,29
34,29
60,41
30,26
45,46
46,73
86,66
116,76
48,44
77,69
25,24
26,20
33,22
27,33
43,27
47,53
26,28
36,36
116,95
26,31
43,37
34,60
50,24
78,70
47,34
53,37
32,29
182,84
105,106
31,18
32,22
126,104
29,36
45,42
65,38
49,47
161,148
59,56
56,37
229,261
22,24
24,35
85,77
119,127
59,58
42,34
142,113
41,39
38,44
65,52
41,69
50,44
74,60
72,57
136,128
45,32
22,33
53,75
63,58
91,58
66,56
75,93
40,45
71,52
41,56
54,29
47,37
31,41
30,42
50,48
107,124
41,18
50,49
132,191
129,196
105,108
34,32
49,47
33,40
49,38
33,30
63,50
39,45
42,32
131,112
39,42
